player,color,moves,total_sac,file_name
Alekhine,Black,51,10,Omelyansky-P_vs_Alekhine-Alexander-A_1902.__.__.pgn
Alekhine,White,37,4.5,Alekhine-Alexander-A_vs_Nimzowitsch-Aaron_1931.__.__.pgn
Alekhine,White,93,3.5,Alekhine-Alexander-A_vs_N-N_1907.__.__.pgn
Alekhine,Black,110,11,Rotunno-Ernesto_vs_Alekhine-Alexander-A_1939.__.__.pgn
Alekhine,White,65,6,Alekhine-Alexander-A_vs_Colle-Edgard_1925.__.__ (1).pgn
Alekhine,Black,83,1,Gottesman-L_vs_Alekhine-Alexander-A_1902.__.__.pgn
Alekhine,Black,110,3.5,Sajtar-Jaroslav_vs_Alekhine-Alexander-A_1943.__.__.pgn
Alekhine,White,46,5,Alekhine-Alexander-A_vs_Vidmar-Milan-Sr_1927.__.__.pgn
Alekhine,Black,132,5,Alapin-Semyon-Z_vs_Alekhine-Alexander-A_1911.__.__.pgn
Alekhine,Black,126,12.5,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1934.__.__ (3).pgn
Alekhine,Black,100,2.5,Thomas-George-A_vs_Alekhine-Alexander-A_1938.__.__.pgn
Alekhine,Black,62,0,Suechting-Hugo_vs_Alekhine-Alexander-A_1911.__.__.pgn
Alekhine,White,54,1,Alekhine-Alexander-A_vs_Rubinstein-Akiba-K_1912.__.__.pgn
Alekhine,White,95,5,Alekhine-Alexander-A_vs_Opocensky-Karel_1943.__.__.pgn
Alekhine,White,154,13.5,Alekhine-Alexander-A_vs_Schlechter-Carl_1911.__.__.pgn
Alekhine,Black,68,2.5,Kraichik-M_vs_Alekhine-Alexander-A_1902.__.__.pgn
Alekhine,White,74,1,Alekhine-Alexander-A_vs_Girad_1937.__.__.pgn
Alekhine,White,64,5,Alekhine-Alexander-A_vs_Alexander-Conel-H-O'D_1933.__.__.pgn
Alekhine,White,24,0,Alekhine-Alexander-A_vs_Gruenfeld-Ernst-F_1925.__.__.pgn
Alekhine,White,87,6,Alekhine-Alexander-A_vs_Saemisch-Friedrich_1937.__.__.pgn
Alekhine,White,95,0,Alekhine-Alexander-A_vs_Menchik-Vera_1938.__.__.pgn
Alekhine,Black,78,10,Schwarzmann_vs_Alekhine-Alexander-A_1916.__.__.pgn
